DATOS HORARIOS 2020_FACULTAD DE MEDICINA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
DIC,4,20,0.006,0.0085,0.690,0.0356,40,13,19.5,1.3,226,58,616.2
DIC,4,21,0.0072,0.0085,0.550,0.0333,40,9,17.8,2.3,252,67,616.7
DIC,4,22,0.0099,0.0085,0.460,0.0301,25,8,17.2,1.2,220,70,617.2
DIC,4,23,0.0064,0.0084,0.570,0.0338,13,8,16.9,0.7,204,73,617.4
DIC,5,0,0.0028,0.0089,0.810,0.0399,22,9,17,0.3,264,73,617.5
DIC,5,1,0.0024,0.0094,0.880,0.0389,31,NA,17,0.2,40,73,617.3
DIC,5,2,0.0033,0.0094,0.590,0.0359,41,15,17,0.6,284,74,617.4
DIC,5,3,0.0039,0.0091,0.530,0.0347,20,10,17,0.1,167,72,617.2
DIC,5,4,0.0029,0.0092,0.490,0.0339,20,12,16.2,0.5,238,78,617
DIC,5,5,0.0045,0.009,0.420,0.0333,18,5,16,0.3,157,78,617.1
DIC,5,6,0.012,0.0088,0.310,0.0276,13,7,16.1,0.7,267,77,617.2
DIC,5,7,0.0094,0.0088,0.410,0.0307,13,5,15.9,0.2,214,77,617.4
DIC,5,8,0.0066,0.0087,0.560,0.0386,17,11,16.2,0.6,220,75,617.8
DIC,5,9,0.0062,0.009,0.750,0.0399,23,9,17.5,0.5,158,70,618.1
