DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_T-21 2023,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,
,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
NOVIEMBRE,13,18,NA,NA,0.008,37
NOVIEMBRE,13,19,NA,NA,0.008,36
NOVIEMBRE,13,20,NA,NA,0.008,34
NOVIEMBRE,13,21,NA,NA,0.008,31
NOVIEMBRE,13,22,NA,NA,0.008,27
NOVIEMBRE,13,23,NA,NA,0.008,21
NOVIEMBRE,14,0,NA,NA,0.008,17
NOVIEMBRE,14,1,NA,NA,0.007,23
NOVIEMBRE,14,2,NA,NA,0.007,23
NOVIEMBRE,14,3,NA,NA,0.007,20
NOVIEMBRE,14,4,NA,NA,0.007,19
NOVIEMBRE,14,5,NA,NA,0.007,17
NOVIEMBRE,14,6,NA,NA,0.007,15
NOVIEMBRE,14,7,NA,NA,0.007,12
NOVIEMBRE,14,8,NA,NA,0.007,26
NOVIEMBRE,14,9,NA,NA,0.007,30
NOVIEMBRE,14,10,NA,NA,0.007,32
NOVIEMBRE,14,11,NA,NA,0.007,34
NOVIEMBRE,14,12,NA,NA,0.007,34
NOVIEMBRE,14,13,NA,NA,0.007,34
NOVIEMBRE,14,14,NA,NA,0.007,33
NOVIEMBRE,14,15,NA,NA,0.007,30
NOVIEMBRE,14,16,NA,NA,0.007,31
NOVIEMBRE,14,17,NA,NA,0.007,31
NOVIEMBRE,14,18,NA,NA,0.007,28
NOVIEMBRE,14,19,NA,NA,0.007,25
NOVIEMBRE,14,20,NA,NA,0.007,23
NOVIEMBRE,14,21,NA,NA,0.007,28
NOVIEMBRE,14,22,NA,NA,0.007,26
NOVIEMBRE,14,23,NA,NA,0.007,21
NOVIEMBRE,15,0,NA,NA,0.007,26
NOVIEMBRE,15,1,NA,NA,0.007,22
NOVIEMBRE,15,2,NA,NA,0.007,16
NOVIEMBRE,15,3,NA,NA,0.007,13
NOVIEMBRE,15,4,NA,NA,0.007,13
NOVIEMBRE,15,5,NA,NA,0.007,13
NOVIEMBRE,15,6,NA,NA,0.007,12
NOVIEMBRE,15,7,NA,NA,0.007,9
NOVIEMBRE,15,8,NA,NA,0.007,19
NOVIEMBRE,15,9,NA,NA,0.007,37
NOVIEMBRE,15,10,NA,NA,0.007,48
NOVIEMBRE,15,11,NA,NA,0.007,53
NOVIEMBRE,15,12,NA,NA,0.007,48
NOVIEMBRE,15,13,NA,NA,0.007,43
